sample_id,split,x_start_date,x_end_date,target_date,y
45,test,2021-06,2022-05,2022-06,100.0
46,test,2021-07,2022-06,2022-07,100.5
47,test,2021-08,2022-07,2022-08,99.9
48,test,2021-09,2022-08,2022-09,100.3
49,test,2021-10,2022-09,2022-10,100.1
50,test,2021-11,2022-10,2022-11,99.8
51,test,2021-12,2022-11,2022-12,100.0
52,test,2022-01,2022-12,2023-01,100.8
53,test,2022-02,2023-01,2023-02,99.5
54,test,2022-03,2023-02,2023-03,99.7
55,test,2022-04,2023-03,2023-04,99.9
56,test,2022-05,2023-04,2023-05,99.8
57,test,2022-06,2023-05,2023-06,99.8
58,test,2022-07,2023-06,2023-07,100.2
59,test,2022-08,2023-07,2023-08,100.3
60,test,2022-09,2023-08,2023-09,100.2
61,test,2022-10,2023-09,2023-10,99.9
62,test,2022-11,2023-10,2023-11,99.5
63,test,2022-12,2023-11,2023-12,100.1
64,test,2023-01,2023-12,2024-01,100.3
65,test,2023-02,2024-01,2024-02,101.0
66,test,2023-03,2024-02,2024-03,99.0
67,test,2023-04,2024-03,2024-04,100.1
68,test,2023-05,2024-04,2024-05,99.9
69,test,2023-06,2024-05,2024-06,99.8
70,test,2023-07,2024-06,2024-07,100.5
71,test,2023-08,2024-07,2024-08,100.4
72,test,2023-09,2024-08,2024-09,100.0
73,test,2023-10,2024-09,2024-10,99.7
74,test,2023-11,2024-10,2024-11,99.4
75,test,2023-12,2024-11,2024-12,100.0
76,test,2024-01,2024-12,2025-01,100.7
77,test,2024-02,2025-01,2025-02,99.8
78,test,2024-03,2025-02,2025-03,99.6
79,test,2024-04,2025-03,2025-04,100.1
80,test,2024-05,2025-04,2025-05,99.8
81,test,2024-06,2025-05,2025-06,99.9
82,test,2024-07,2025-06,2025-07,100.4
83,test,2024-08,2025-07,2025-08,100.0
84,test,2024-09,2025-08,2025-09,100.1
85,test,2024-10,2025-09,2025-10,100.2
86,test,2024-11,2025-10,2025-11,99.9
87,test,2024-12,2025-11,2025-12,100.2
88,test,2025-01,2025-12,2026-01,100.2
89,test,2025-02,2026-01,2026-02,101.0
90,test,2025-03,2026-02,2026-03,99.3
91,test,2025-04,2026-03,2026-04,100.3
