sample_id,split,x_start_date,x_end_date,target_date,y
45,test,2021-06,2022-05,2022-06,102.5
46,test,2021-07,2022-06,2022-07,102.7
47,test,2021-08,2022-07,2022-08,102.5
48,test,2021-09,2022-08,2022-09,102.8
49,test,2021-10,2022-09,2022-10,102.1
50,test,2021-11,2022-10,2022-11,101.6
51,test,2021-12,2022-11,2022-12,101.8
52,test,2022-01,2022-12,2023-01,102.1
53,test,2022-02,2023-01,2023-02,101.0
54,test,2022-03,2023-02,2023-03,100.7
55,test,2022-04,2023-03,2023-04,100.1
56,test,2022-05,2023-04,2023-05,100.2
57,test,2022-06,2023-05,2023-06,100.0
58,test,2022-07,2023-06,2023-07,99.7
59,test,2022-08,2023-07,2023-08,100.1
60,test,2022-09,2023-08,2023-09,100.0
61,test,2022-10,2023-09,2023-10,99.8
62,test,2022-11,2023-10,2023-11,99.5
63,test,2022-12,2023-11,2023-12,99.7
64,test,2023-01,2023-12,2024-01,99.2
65,test,2023-02,2024-01,2024-02,100.7
66,test,2023-03,2024-02,2024-03,100.1
67,test,2023-04,2024-03,2024-04,100.3
68,test,2023-05,2024-04,2024-05,100.3
69,test,2023-06,2024-05,2024-06,100.2
70,test,2023-07,2024-06,2024-07,100.5
71,test,2023-08,2024-07,2024-08,100.6
72,test,2023-09,2024-08,2024-09,100.4
73,test,2023-10,2024-09,2024-10,100.3
74,test,2023-11,2024-10,2024-11,100.2
75,test,2023-12,2024-11,2024-12,100.1
76,test,2024-01,2024-12,2025-01,100.5
77,test,2024-02,2025-01,2025-02,99.3
78,test,2024-03,2025-02,2025-03,99.9
79,test,2024-04,2025-03,2025-04,99.9
80,test,2024-05,2025-04,2025-05,99.9
81,test,2024-06,2025-05,2025-06,100.1
82,test,2024-07,2025-06,2025-07,100.0
83,test,2024-08,2025-07,2025-08,99.6
84,test,2024-09,2025-08,2025-09,99.7
85,test,2024-10,2025-09,2025-10,100.2
86,test,2024-11,2025-10,2025-11,100.7
87,test,2024-12,2025-11,2025-12,100.8
88,test,2025-01,2025-12,2026-01,100.2
89,test,2025-02,2026-01,2026-02,101.3
90,test,2025-03,2026-02,2026-03,101.0
91,test,2025-04,2026-03,2026-04,101.2
